IMO,MMSI
7412020,308606000
7415137,311989000
7620952,701000821
7723845,701006150
7731062,701000656
7922063,701006098
8008060,701006396
8023802,503567000
8100026,701006104
8120545,701101000
8125052,309919000
8200008,701007048
8515518,533081000
9011129,701006095
9052757,701006410
9105255,518277000
9148776,304020821
9221401,503547000
9226437,319702000
9256030,701007052
9274604,701006099
9287522,701000554
9289635,503471000
9289647,503472000
9300738,375334000
9300740,377173000
9307308,308282000
9307310,308623000
9307322,308335000
9321287,304742000
9328273,308193000
9328388,701006289
9332561,572765210
9337547,565022000
9351775,503512000
9351787,503513000
9355006,376126000
9365128,305542000
9374935,503533000
9376880,563002000
9394002,563304000
9402445,311012900
9408839,423375100
9416484,538003447
9416496,538003448
9416575,305940000
9417505,503575000
9423384,701006188
9427043,311048500
9427055,311048600
9427067,311048700
9427407,503156500
9431070,503583000
9431082,503588000
9433743,305389000
9433755,305820000
9434826,311023400
9435739,311048900
9447639,311052400
9447653,311061700
9447665,258004000
9449053,503554000
9451666,566461000
9455105,636091428
9455117,636091429
9458743,671143000
9476006,305356000
9487134,503563000
9488401,503570000
9492658,564579000
9517836,376937000
9520572,304068000
9524619,503581000
9526344,503591000
9526356,503592000
9526368,503593000
9526370,503594000
9530498,503384300
9541681,218272000
9545223,503723000
9549815,701006384
9550905,572812210
9553919,503702600
9553921,503702700
9554315,503717000
9554327,503711000
9557587,503641000
9557599,503642000
9557965,503414700
9557989,701006497
9559585,503612000
9560211,503598000
9563201,246804000
9568081,564490000
9570175,565348000
9570230,603712500
9570254,603712800
9578490,503646000
9578505,503648000
9578517,503647000
9578579,503783000
9578581,503784000
9581631,503786000
9581655,503787000
9585261,246839000
9587556,605041220
9587568,605041230
9600205,503631000
9600229,503632000
9606510,503742000
9615690,605106415
9615705,605106424
9615717,605026425
9616216,503712000
9622071,605106423
9633800,503012770
9635872,503724000
9635884,503725000
9635896,503727000
9635901,503726000
9635913,503747000
9635925,503746000
9635937,375095000
9644108,503764000
9654127,503678700
9654139,503778700
9667198,466085000
9667801,503004360
9673941,503013220
9673953,503013190
9673965,503013230
9673977,503013210
9679828,503020660
9684639,376789000
9688702,701105000
9693472,503020180
9693484,565219000
9702168,376852000
9721255,701123456
9735086,503011080
9743679,565802000
9743693,565804000
9753337,479890000
9753789,376951000
9479709,311039200
9198343,408738000
9371476,408804000
9367085,408793000
9367097,408796000
9387891,408810000
9660140,408839000
9715098,408574000
9515890,408314000
9530723,408336000
9541473,408344000
9541980,408371000
9497024,408834000
9309318,408774000
9545235,408349000
9545247,408354000
7366427,404736000
7304405,408790000
7931480,408389000
7409396,408308000
7435565,408805000
7907702,408806000
9419046,408325000
9342956,408821000
9559121,375434000
9510498,565935000
9433731,408813000
9524138,408329000
9366304,408791000
9300271,408783000
9307530,408785000
9563005,408342000
9388455,565424000
9660243,408547000
9657727,408849000
7393822,215075000
9522506,408357000
9549891,408831000
9249063,408687000
9576088,408387000
9576090,408388000
9481142,408320000
9533294,408345000
9522518,408346000
9385180,408809000
9684914,408545000
9322592,325228000
9178410,258567000
9261487,205340000
9185932,538006290
9537537,205575000
9220548,205349000
9537525,205566000
9242766,205642000
9220550,205001000
9262742,205644000
9479694,205634000
9322607,325448000
9454888,205565000
8117471,205067000
8406470,258344000
9483748,205618000
9454321,205619000
9406441,205300000
9406439,205234000
8915457,205199000
8603004,205084000
9120140,205177000
8915471,205057000
8915469,205063000
9120190,205233000
9034975,205065000
9034987,205348000
9120164,205188000
9120176,205193000
9314260,205414000
9314296,205417000
9397121,205483000
9365142,205475000
9502714,205546000
9397119,205484000
9502697,205545000
9314272,205415000
9314284,205416000
8915483,205071000
7106059,325616000
8811285,240694000
8126965,422023300
9543665,312090000
9543653,312089000
9534743,312371000
9503548,312461000
9470208,312280000
9683582,312169000
9559547,312631000
9542570,312470000
9603788,312652000
9603776,312477000
9590266,312665000
9536179,312399000
9536167,312080000
7522095,312485000
8509088,312572000
9460758,312427000
9482469,312619000
9482457,312516000
9686508,755022300
9686522,755012300
9686481,755091100
9686510,755022000
9528328,710008890
9528249,710006080
9600580,710022930
9600578,710014950
9339131,710002480
9365582,710003160
9353204,710002860
9528354,710000529
9329966,710002990
9274874,710001540
9329954,710002430
9273258,710052000
9270220,710039000
9270244,710053000
9270232,710050000
9246724,235465000
9457426,710011790
9457488,710012030
9457476,710012020
9668659,710012550
9449144,710003930
9449091,710003710
9449156,710003940
9449077,710003640
9379014,710003910
9718284,710020280
9541722,710001830
9541904,710004480
9541552,710004490
9341847,710000790
9224908,710011760
9573189,710000388
9573141,710112233
8716227,710031000
9341859,710001110
9145451,710000009
9541772,710005290
9174050,710012290
9174062,710012460
9573220,710009750
9205316,710000680
9174074,710000450
8716239,710015190
9541734,710005320
9541746,710005970
9314791,710000350
9573153,710013540
